route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
66-203,Weekend-1,1275-06601-30600-2-7551b754,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
66-203,Weekday-1,1275-06601-30600-2-c0929559,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
298-221,Weekday-4,1261-29802-70200-2-6ba404aa,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-6d610fd6,0,0
298-221,Weekday-3,1261-29802-70200-2-e9a0a5b5,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-0d59e672,0,0
298-221,Daily-2,1261-29802-71400-2-6ba404aa,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-6d610fd6,0,0
298-221,Daily-3,1261-29802-71400-2-e9a0a5b5,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-0d59e672,0,0
66-203,Weekend-1,1275-06601-31500-2-7551b754,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
66-203,Weekday-1,1275-06601-31500-2-c0929559,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
66-203,Weekend-1,1275-06601-32400-2-400ebc0b,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
66-203,Weekday-1,1275-06601-32400-2-4f87e5a9,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
66-203,Weekend-1,1275-06601-33300-2-400ebc0b,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
298-221,Weekday-4,1261-29802-73200-2-6ba404aa,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-6d610fd6,0,0
298-221,Weekday-3,1261-29802-73200-2-e9a0a5b5,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-0d59e672,0,0
298-221,Daily-2,1261-29802-75000-2-6ba404aa,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-6d610fd6,0,0
298-221,Daily-3,1261-29802-75000-2-e9a0a5b5,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-0d59e672,0,0
66-203,Weekday-1,1275-06601-33300-2-753eacfc,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
66-203,Weekend-1,1275-06601-34200-2-25b849fd,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
66-203,Weekday-1,1275-06601-34200-2-753eacfc,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
66-203,Weekday-1,1275-06601-35100-2-753eacfc,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
